Date,Time,Worker ID,Helmet,Mask,Safety Vest,Status
2026-06-28,21:41:58,3,No,No,No,Violation
2026-06-28,21:41:58,5,No,No,No,Violation
2026-06-28,21:44:23,1,No,No,No,Violation
2026-06-28,21:44:23,5,No,No,No,Violation
2026-06-28,21:44:24,8,No,No,No,Violation
2026-06-28,21:44:41,19,No,No,No,Violation
2026-06-30,23:23:10,1,No,No,No,Violation
2026-06-30,23:23:10,2,No,No,No,Violation
2026-06-30,23:23:23,6,No,No,No,Violation
2026-07-01,17:28:07,4,No,No,No,Violation
2026-07-01,17:28:07,6,No,No,No,Violation
2026-07-01,17:28:08,10,No,No,No,Violation
2026-07-01,17:28:15,35,No,No,No,Violation
2026-07-01,17:28:20,46,No,No,No,Violation
2026-07-01,17:28:20,47,No,No,No,Violation
2026-07-01,17:28:31,61,No,No,No,Violation
2026-07-01,17:28:34,77,No,No,No,Violation
2026-07-01,17:28:34,78,No,No,No,Violation
2026-07-01,17:28:43,103,No,No,No,Violation
2026-07-01,17:28:44,110,No,No,No,Violation
2026-07-01,17:28:44,112,No,No,No,Violation
2026-07-01,17:28:46,118,No,No,No,Violation
2026-07-01,17:28:46,120,No,No,No,Violation
2026-07-01,17:28:47,123,No,No,No,Violation
2026-07-01,17:28:48,125,No,No,No,Violation
2026-07-01,17:28:49,132,No,No,No,Violation
2026-07-01,17:29:19,4,No,No,No,Violation
2026-07-01,17:29:19,6,No,No,No,Violation
2026-07-01,17:29:20,10,No,No,No,Violation
2026-07-01,17:29:20,12,No,No,No,Violation
2026-07-01,17:29:20,14,No,No,No,Violation
2026-07-01,17:29:21,18,No,No,No,Violation
2026-07-01,17:29:22,8,No,No,No,Violation
2026-07-01,17:29:25,31,No,No,No,Violation
2026-07-01,17:29:31,45,No,No,No,Violation
2026-07-01,17:29:34,50,No,No,No,Violation
2026-07-01,17:29:34,53,No,No,No,Violation
2026-07-01,22:38:37,1,No,No,No,Violation
2026-07-01,22:38:44,-1,No,No,No,Violation
2026-07-01,22:38:44,4,No,No,No,Violation
2026-07-01,22:40:06,2,No,No,No,Violation
2026-07-01,22:43:07,-1,No,No,No,Violation
2026-07-01,22:43:07,1,No,No,No,Violation
2026-07-01,22:43:17,9,No,No,No,Violation
2026-07-02,23:52:25,1,No,No,No,Violation
2026-07-02,23:53:42,-1,No,No,No,Violation
2026-07-02,23:53:48,10,No,No,No,Violation
